id,Occupation at main job
1,Senior management occupations
2,Specialized middle management occupations
3,Middle management occupations in retail and wholesale trade and customer services
4,"Middle management occupations in trades, transportation, production and utilities"
5,Professional occupations in business and finance
6,Administrative and financial supervisors and administrative occupations
7,"Finance, insurance and related business administrative occupations"
8,Office support occupations
9,"Distribution, tracking and scheduling co-ordination occupations"
10,Professional occupations in natural and applied sciences
11,Technical occupations related to natural and applied sciences
12,Professional occupations in nursing
13,Professional occupations in health (except nursing)
14,Technical occupations in health
15,Assisting occupations in support of health services
16,Professional occupations in education services
17,"Professional occupations in law and social, community and government services"
18,"Paraprofessional occupations in legal, social, community and education services"
19,Occupations in front-line public protection services
20,"Care providers and educational, legal and public protection support occupations"
21,Professional occupations in art and culture
22,"Technical occupations in art, culture, recreation and sport"
23,Retail sales supervisors and specialized sales occupations
24,Service supervisors and specialized service occupations
25,Sales representatives and salespersons - wholesale and retail trade
26,Service representatives and other customer and personal services occupations
27,Sales support occupations
28,"Service support and other service occupations, n.e.c."
29,"Industrial, electrical and construction trades"
30,Maintenance and equipment operation trades
31,"Other installers, repairers and servicers and material handlers"
32,Transport and heavy equipment operation and related maintenance occupations
33,"Trades helpers, construction labourers and related occupations"
34,"Supervisors and technical occupations in natural resources, agriculture and related production"
35,"Workers in natural resources, agriculture and related production"
36,"Harvesting, landscaping and natural resources labourers"
37,"Processing, manufacturing and utilities supervisors and central control operators"
38,Processing and manufacturing machine operators and related production workers
39,Assemblers in manufacturing
40,"Labourers in processing, manufacturing and utilities"
